Newly Added,ID,Industry,Code,Alphabet,Numeric,Type ,Segment Name,Display Name,Real Value,Group,Type,Value,New Attribute Name,Rename,Meaning
,155,Restaurants,E6,E,6,Brand Visited,Wendy's Visitors,Wendy's ,,Restaurants,Food & Drink,Low,,,
,240,Women's clothing,G2.4,G,2.4,Geo Behaviour,Womens's Fashion Shoppers,Womens's Fashion Shoppers,,Shopping & Fashion,Apparel,Low,,,
,208,Hotels,F5.7,F,5.7,Brand Visited,Wellshot Hotel Visitors,Wellshot Hotel , ,Travel,Accommodation,High,,,
,330,Health care,K,K,,Place Categories,Weight Loss And Nutritionists Visitors,Weight Loss And Nutritionists ,,Health,Fitness Care,Low,,,
,245,Jewelry,G3.3,G,3.3,interests,Women's Jewelry and Watches,Women's Jewelry and Watches,,Shopping & Fashion,Jewelry,Low,,,
,108,Fitness and wellness,D,D,,Interests,Women's Health,Women's Health,,Health,Personal Wellness,Low,,,
,330,Health care,K,K,,Interests,Women's Health,Women's Health,,Health,Personal Wellness,Low,,,
,240,Women's clothing,G2.4,G,2.4,Interests,Women's Fashion,Women's Fashion,,Shopping & Fashion,Apparel,Low,,,
,240,Women's clothing,G2.4,G,2.4,Interests,Women's Clothing,Women's Clothing,,Shopping & Fashion,Apparel,Low,,,
,242,Fashion Accessories,G3,G,3,Interests,Women's Accessories,Women's Accessories,,Shopping & Fashion,Apparel,Low,,,
,240,Women's clothing,G2.4,G,2.4,Brand Visited,Witchery,Witchery,,Shopping & Fashion,Apparel,High,,,
,352,Luxury goods,N4,N,4,Brand Visited,Witchery,Witchery,,Shopping & Fashion,Apparel,High,,,
,120,Wine,E1.3,E,1.3,Geo Behaviour,Wine Enthusiasts,Wine Enthusiasts,,Beverage,Alcoholic,Low,,,
,120,Wine,E1.3,E,1.3,Geo Behaviour,Wine & Liquor Shoppers,Wine & Liquor Shoppers,,Beverage,Alcoholic,Low,,,
,201,Travel,F5,F,5,Brand Visited,Waya Visitors,Waya ,,Travel,Leisure,Low,,,
,213,Tourism,F5.12,F,5.12,Brand Visited,Waves on the Beach Visitors,Waves on the Beach ,,Travel,Leisure,Low,,,
,208,Hotels,F5.7,F,5.7,Brand Visited,Waves Byron Bay Visitors,Waves Byron Bay , ,Travel,Accommodation,Low,,,
,342,Home improvement,M4,M,4,Interests,Windows,Windows,,Home And Garden,Property,Low,,,
,6,Business,A5,A,5,Brand Visited,Water Technology Visitors,Water Technology , ,Business,Professional,Low,,,
,270,Swimming,H2.11,H,2.11,Place Categories,Water Sports Venue Visitors,Water Sports Venue ,,Hobbies And Activities,Sports,Low,,,
,212,Theme parks,F5.11,F,5.11,Place Categories,Water Park Visitors,Water Park ,,Entertainment,Leisure,Low,,,
,315,Private Services,J2,J,2,Place Categories,Water And Waste Management Visitors,Water And Waste Management ,,Business,Professional,Low,,,
N,247,Watches,G3.5,G,3.5,Place categories,Watches Visitors,Watches,,Shopping & Fashion,Watches,Low,,,
,247,Watches,G3.5,G,3.5,Brand Visited,Watch World Australia Visitors,Watch World Australia ,,Shopping & Fashion,Watches,Low,,,
,239,Shoes,G2.3,G,2.3,Brand Visited,Wanted Shoes Visitors,Wanted Shoes ,,Shopping & Fashion,Footware,Low,,,
,316,Transportation,J3,J,3,Brand Visited,Wilson Parking,Wilson Parking,,Business,Property,Low,,,
,155,Restaurants,E6,E,6,Brand Visited,Wagyu Ya Visitors,Wagyu Ya ,,Restaurants,Food & Drink,Low,,,
,155,Restaurants,E6,E,6,Brand Visited,Wagyu One Visitors,Wagyu One ,,Restaurants,Food & Drink,Low,,,
,201,Travel,F5,F,5,Brand Visited,W Lane Visitors,W Lane ,,Travel,Leisure,Low,,,
,208,Hotels,F5.7,F,5.7,Brand Visited,Vue Grand Hotel Visitors,Vue Grand Hotel , ,Travel,Accommodation,Low,,,
,155,Restaurants,E6,E,6,Brand Visited,Vue de Monde Visitors,Vue de Monde ,,Restaurants,Food & Drink,Low,,,
,317,Vehicles,J3.1,J,3.1,Brand Visited,Volvo Visitors,Volvo ,,Automotive,Vehicles,Low,,,
,107,Family Events,C10,C,10,Brand Visited,White Lady Funerals,White Lady Funerals,,Social,Event Management,Low,,,
,315,Private Services,J2,J,2,Brand Visited,White Lady Funerals,White Lady Funerals,,Social,Event Management,Low,,,
,317,Vehicles,J3.1,J,3.1,Brand Visited,Volkswagen Visitors,Volkswagen ,,Automotive,Vehicles,Low,,,
,26,Real estate,A14,A,14,Brand Visited,WeWork,WeWork,,Business,Property,Low,,,
,117,Alcoholic beverages,E1,E,1,Place Categories,Vodka Visitors,Vodka ,666 Vodka Visitors,Beverage,Alcoholic,Low,,,
,276,Technology,I,I,,Brand Visited,Vodafone Visitors,Vodafone ,,Technology,Electronic Devices,Low,,,
N,208,Hotels,F5.7,F,5.7,Brands Visited,Visit Port Lincoln Accommodation Visitors,Visit Port Lincoln Accommodation, ,Travel,Accommodation,Low,,,
,112,Physical fitness,D4,D,4,Brand Visited,Vision Personal Training Visitors,Vision Personal Training , ,Fitness And Wellness,Fitness Care,Low,,,
,330,Health care,K,K,,Brand Visited,Vision Eye Institute Visitors,Vision Eye Institute ,,Health,Medicine,Low,,,
,24,Online banking,A13.7.2,A,13.7.2,Brand Visited,VISA Visitors,VISA ,,Finance,Banking,Low,,,
,112,Physical fitness,D4,D,4,Brand Visited,Virgin Active Visitors,Virgin Active , ,Fitness And Wellness,Fitness Care,Low,,,
,352,Luxury goods,N4,N,4,Brand Visited,Vintage Shops Australia Visitors,Vintage Shops Australia ,,Shopping & Fashion,Apparel,Low,,,
,354,Shopping malls,N6,N,6,Brand Visited,Vintage Shops Australia Visitors,Vintage Shops Australia ,,Shopping & Fashion,Shoppers,Low,,,
,24,Online banking,A13.7.2,A,13.7.2,Brand Visited,Westpac,Westpac,,Finance,Banking,Low,,,
,354,Shopping malls,N6,N,6,Brand Visited,Vinomofo Warehouse Visitors,Vinomofo Warehouse ,,Shopping & Fashion,Shoppers,Low,,,
,153,Pizza,E5.6,E,5.6,Brand Visited,Vinny's Pizza Visitors,Vinny's Pizza ,,Restaurants,Fast Food,Low,,,
,228,Shopping and fashion,G,G,,Brand Visited,Vinnies Visitors,Vinnies ,,Shopping & Fashion,Shoppers,Low,,,
,117,Alcoholic beverages,E1,E,1,Brand Visited,Vine Providore Visitors,Vine Providore , ,Beverage,Alcoholic,Low,,,
,354,Shopping malls,N6,N,6,Brand Visited,Westfield,Westfield,,Shopping & Fashion,House & Personal ,Low,,,
,208,Hotels,F5.7,F,5.7,Brand Visited,Villa Noosa Hotel Visitors,Villa Noosa Hotel , ,Travel,Accommodation,Low,,,
,331,Nursing,K1,K,1,Brand Visited,Villa Maria Catholic Homes Visitors,Villa Maria Catholic Homes ,,Health,Medical Care,Low,,,
,159,Fast food restaurants,E6.4,E,6.4,Brand Visited,Wendy's,Wendy's,,Restaurants,Fast Food,Low,,,
,108,Fitness and wellness,D,D,,Interests,Weight Loss,Weight Loss,,Health,Personal Wellness,Low,,,
,330,Health care,K,K,,Interests,Weight Loss,Weight Loss,,Health,Personal Wellness,Low,,,
,105,Weddings,C8,C,8,Geo Behaviour,Wedding Planning Explorer,Wedding Planning Explorer,,Social,Event Management,Low,Yes,Wedding Planning Explorer,people Mostly online searching or clicked ads related to wedding planning
,105,Weddings,C8,C,8,Interests,Wedding,Wedding,,Social,Event Management,Low,Yes,Wedding Planning Explorer,people Mostly online searching or clicked ads related to wedding planning
,64,Animated movies,B3.2,B,3.2,Interests,Webtoons,Webtoons,and webtoons,Entertainment,Toon,Low,,,
,50,Video games,B1.19,B,1.19,Place Categories,Video Games Visitors,Video Games ,,Hobbies And Activities,Games,Low,,,
,62,Movies,B3,B,3,Place Categories,Video And Dvd Shop Visitors,Video And Dvd Shop ,,Entertainment,Movie,Low,,,
,310,Web design,I3.8,I,3.8,Interests,Web Design/HTML,Web Design/HTML,,Technology,Professional,Low,,,
,229,Beauty,G1,G,1,Brand Visited,Victoria's Secret Visitors,Victoria's Secret ,,Beauty,Personal Wellness,Low,,,
,231,Cosmetics,G1.2,G,1.2,Brand Visited,Victoria's Secret Visitors,Victoria's Secret ,,Beauty,Cosmetics,Low,,,
,310,Web design,I3.8,I,3.8,Interests,Web Design and HTML,Web Design and HTML,,Technology,Professional,Low,,,
,276,Technology,I,I,,Interests,Web Conferencing,Web Conferencing,,Technology,Professional,Low,,,
,315,Private Services,J2,J,2,App Category,Weather,Weather,,Home And Garden,Weather,Low,,,
,315,Private Services,J2,J,2,Interests,Weather,Weather,,Home And Garden,Weather,Low,,,
